20.203772,64.262909,7.559991,3,2017-11-22-15-12-12,2017,11,22,15,12,12
0.000000,0.000000,45695.300781,3,2017-11-22-15-28-47,2017,11,22,15,28,47
17.962227,66.139740,0.000000,3,2017-11-22-15-37-56,2017,11,22,15,37,56
20.546974,81.612152,0.000000,3,2017-11-22-15-41-47,2017,11,22,15,41,47
17.082769,69.702667,0.000000,3,2017-11-22-17-11-38,2017,11,22,17,11,38
18.198179,66.856903,0.000000,3,2017-11-22-17-17-171511371037,2017,11,22,17,17,171511371037
18.090927,67.238373,7.559991,3,2017-11-22-17-18-181511371098,2017,11,22,17,18,181511371098
18.648632,66.994232,0.000000,3,2017-11-22-17-19-53,1511371193,2017,11,22,17,19,53
18.219629,68.268341,0.000000,3,2017-11-22-17-24-31,1511371471,2017,11,22,17,24,31
16.514338,74.356598,0.000000,3,2017-11-22-18-9-39,1511374179,2017,11,22,18,9,39
17.779900,71.365875,0.000000,3,2017-11-22-18-36-14,1511375774,2017,11,22,18,36,14
17.458147,97.557587,0.000000,3,2017-11-22-18-37-12,2017,11,22,18,37,12
19.099087,64.484161,7.840009,3,2017-11-22-18-45-41,1511376341,2017,11,22,18,45,41
20.890179,82.680267,0.000000,3,2017-11-22-18-46-8,1511376368,2017,11,22,18,46,8
17.586847,68.542999,0.000000,3,2017-11-22-18-54-59,1511376899,2017,11,22,18,54,59
20.182322,61.127228,7.700000,3,2017-11-22-19-5-39,1511377539,2017,11,22,19,5,39
19.184887,63.553375,7.420004,2,2017-11-22-19-9-39,1511377779,2017,11,22,19,9,39
15.699231,74.074310,0.000000,2,2017-11-22-19-27-53,1511378873,2017,11,22,19,27,53
16.289112,72.220367,3.920004,2,2017-11-22-19-31-48,1511379108,2017,11,22,19,31,48
17.726274,68.039459,0.000000,2,2017-11-22-19-34-8,1511379248,2017,11,22,19,34,8
18.680809,65.483612,7.140008,2,2017-11-22-19-36-9,1511379369,2017,11,22,19,36,9
19.560266,64.865631,7.420004,2,2017-11-22-19-37-49,1511379469,2017,11,22,19,37,49
19.688967,62.477631,0.000000,2,2017-11-22-19-41-22,1511379682,2017,11,22,19,41,22
19.957094,71.938080,0.000000,3,2017-11-23-10-59-44,1511434784,2017,11,23,10,59,44
20.311024,71.793121,0.000000,3,2017-11-23-11-0-57,1511434857,2017,11,23,11,0,57
44,44,44,1,12345,12345
14.208443,68.939728,0.000000,2,2017-11-23-11-29-38,1511436578,2017,11,23,11,29,38
17.769175,59.204620,8.120005,2,2017-11-23-11-33-50,1511436830,2017,11,23,11,33,50
0.000000,0.000000,45695.300781,3,2017-11-23-11-34-23,1511436863,2017,11,23,11,34,23
18.412682,57.381195,0.000000,1,2017-11-23-11-35-4,1511436904,2017,11,23,11,35,4
0.000000,0.000000,45695.304688,2,2017-11-23-11-47-57,1511437677,2017,11,23,11,47,57
26.083271,38.887543,6.076001,2,2017-11-23-11-56-53,1511438213,2017,11,23,11,56,53
18.123102,59.296173,0.000000,1,2017-11-23-12-1-31,1511438491,2017,11,23,12,1,31
18.841684,58.273834,8.120005,1,2017-11-23-12-5-24,1511438724,2017,11,23,12,5,24
21.433941,50.617737,5.935997,2,2017-11-23-12-40-17,1511440817,2017,11,23,12,40,17
18.906034,58.510345,0.000000,1,2017-11-23-12-42-46,1511440966,2017,11,23,12,42,46
